[DEBUG] 2023-02-26 01:25:28.617 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1de6932a
[DEBUG] 2023-02-26 01:25:28.618 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@778db7c5
[DEBUG] 2023-02-26 01:25:28.618 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@778db7c5
[DEBUG] 2023-02-26 01:25:28.629 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@573284a5
[DEBUG] 2023-02-26 01:25:28.629 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@573284a5
[DEBUG] 2023-02-26 01:25:28.631 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@64a9d48c
[DEBUG] 2023-02-26 01:25:28.631 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@64a9d48c
[DEBUG] 2023-02-26 01:25:28.633 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1cb7936c
[DEBUG] 2023-02-26 01:25:28.634 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1cb7936c
[DEBUG] 2023-02-26 01:25:28.635 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@77a2aa4a
[DEBUG] 2023-02-26 01:25:28.635 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@77a2aa4a
[DEBUG] 2023-02-26 01:25:28.636 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6d5037a9
[DEBUG] 2023-02-26 01:25:28.636 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6d5037a9
[DEBUG] 2023-02-26 01:25:28.638 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3bbf9027
[DEBUG] 2023-02-26 01:25:28.638 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3bbf9027
[DEBUG] 2023-02-26 01:25:28.642 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bdd2027
[DEBUG] 2023-02-26 01:25:28.642 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bdd2027
[DEBUG] 2023-02-26 01:25:28.644 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@19058533
[DEBUG] 2023-02-26 01:25:28.644 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@19058533
[DEBUG] 2023-02-26 01:25:28.646 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7159a5cd
[DEBUG] 2023-02-26 01:25:28.646 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7159a5cd
[DEBUG] 2023-02-26 01:25:28.648 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@174e1b69
[DEBUG] 2023-02-26 01:25:28.648 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@174e1b69
[DEBUG] 2023-02-26 01:25:28.649 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@174e1b69
[DEBUG] 2023-02-26 01:25:28.650 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1639f93a
[DEBUG] 2023-02-26 01:25:28.651 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@446c3920
[DEBUG] 2023-02-26 01:25:28.651 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@446c3920
[DEBUG] 2023-02-26 01:25:28.651 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@446c3920
[DEBUG] 2023-02-26 01:25:28.652 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@48cd9a2c
[DEBUG] 2023-02-26 01:25:28.653 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@b2f4ece
[DEBUG] 2023-02-26 01:25:28.653 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@b2f4ece
[DEBUG] 2023-02-26 01:25:28.654 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@41fed14f
[DEBUG] 2023-02-26 01:25:28.654 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@41fed14f
[DEBUG] 2023-02-26 01:25:28.655 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@7e736350
[DEBUG] 2023-02-26 01:25:28.655 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@7e736350
[DEBUG] 2023-02-26 01:25:28.656 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@45f421c
[DEBUG] 2023-02-26 01:25:28.656 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@45f421c
[DEBUG] 2023-02-26 01:25:28.657 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@3402b4c9
[DEBUG] 2023-02-26 01:25:28.657 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@3402b4c9
[DEBUG] 2023-02-26 01:25:28.657 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@173f73e7
[DEBUG] 2023-02-26 01:25:28.659 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@75308740
[DEBUG] 2023-02-26 01:25:28.659 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@75308740
[DEBUG] 2023-02-26 01:25:28.659 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@75308740
[DEBUG] 2023-02-26 01:25:28.660 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@5176d279
[DEBUG] 2023-02-26 01:25:28.660 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@5176d279
[DEBUG] 2023-02-26 01:25:28.660 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@5176d279
[DEBUG] 2023-02-26 01:25:28.662 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@4b7c4456
[DEBUG] 2023-02-26 01:25:28.662 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7c447c76
[DEBUG] 2023-02-26 01:25:28.663 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@11ebb1b6
[DEBUG] 2023-02-26 01:25:28.664 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@11ebb1b6
[DEBUG] 2023-02-26 01:25:28.664 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@11ebb1b6
